id,Año,Mes,Desaparecidos_H,Desaparecidos_M,nom_ent,cve_ent
1990-enero,1990,enero,0.0,0.0,durango,10
1990-febrero,1990,febrero,0.0,0.0,durango,10
1990-marzo,1990,marzo,0.0,0.0,durango,10
1990-abril,1990,abril,0.0,0.0,durango,10
1990-mayo,1990,mayo,0.0,0.0,durango,10
1990-junio,1990,junio,0.0,0.0,durango,10
1990-julio,1990,julio,0.0,0.0,durango,10
1990-agosto,1990,agosto,0.0,0.0,durango,10
1990-septiembre,1990,septiembre,0.0,0.0,durango,10
1990-octubre,1990,octubre,0.0,0.0,durango,10
1990-noviembre,1990,noviembre,0.0,0.0,durango,10
1990-diciembre,1990,diciembre,0.0,0.0,durango,10
1991-enero,1991,enero,0.0,0.0,durango,10
1991-febrero,1991,febrero,1.0,0.0,durango,10
1991-marzo,1991,marzo,0.0,0.0,durango,10
1991-abril,1991,abril,0.0,0.0,durango,10
1991-mayo,1991,mayo,0.0,0.0,durango,10
1991-junio,1991,junio,0.0,0.0,durango,10
1991-julio,1991,julio,0.0,0.0,durango,10
1991-agosto,1991,agosto,0.0,0.0,durango,10
1991-septiembre,1991,septiembre,0.0,0.0,durango,10
1991-octubre,1991,octubre,0.0,0.0,durango,10
1991-noviembre,1991,noviembre,0.0,0.0,durango,10
1991-diciembre,1991,diciembre,0.0,0.0,durango,10
1992-enero,1992,enero,0.0,0.0,durango,10
1992-febrero,1992,febrero,0.0,0.0,durango,10
1992-marzo,1992,marzo,0.0,0.0,durango,10
1992-abril,1992,abril,0.0,0.0,durango,10
1992-mayo,1992,mayo,0.0,0.0,durango,10
1992-junio,1992,junio,0.0,0.0,durango,10
1992-julio,1992,julio,0.0,0.0,durango,10
1992-agosto,1992,agosto,0.0,0.0,durango,10
1992-septiembre,1992,septiembre,0.0,0.0,durango,10
1992-octubre,1992,octubre,0.0,0.0,durango,10
1992-noviembre,1992,noviembre,0.0,0.0,durango,10
1992-diciembre,1992,diciembre,0.0,0.0,durango,10
1993-enero,1993,enero,0.0,0.0,durango,10
1993-febrero,1993,febrero,0.0,0.0,durango,10
1993-marzo,1993,marzo,0.0,0.0,durango,10
1993-abril,1993,abril,0.0,0.0,durango,10
1993-mayo,1993,mayo,0.0,0.0,durango,10
1993-junio,1993,junio,0.0,0.0,durango,10
1993-julio,1993,julio,0.0,0.0,durango,10
1993-agosto,1993,agosto,0.0,0.0,durango,10
1993-septiembre,1993,septiembre,0.0,0.0,durango,10
1993-octubre,1993,octubre,0.0,0.0,durango,10
1993-noviembre,1993,noviembre,0.0,0.0,durango,10
1993-diciembre,1993,diciembre,0.0,0.0,durango,10
1994-enero,1994,enero,0.0,0.0,durango,10
1994-febrero,1994,febrero,0.0,0.0,durango,10
1994-marzo,1994,marzo,0.0,0.0,durango,10
1994-abril,1994,abril,0.0,0.0,durango,10
1994-mayo,1994,mayo,0.0,0.0,durango,10
1994-junio,1994,junio,0.0,0.0,durango,10
1994-julio,1994,julio,0.0,0.0,durango,10
1994-agosto,1994,agosto,0.0,0.0,durango,10
1994-septiembre,1994,septiembre,0.0,0.0,durango,10
1994-octubre,1994,octubre,0.0,0.0,durango,10
1994-noviembre,1994,noviembre,0.0,0.0,durango,10
1994-diciembre,1994,diciembre,0.0,0.0,durango,10
1995-enero,1995,enero,0.0,0.0,durango,10
1995-febrero,1995,febrero,0.0,0.0,durango,10
1995-marzo,1995,marzo,0.0,0.0,durango,10
1995-abril,1995,abril,0.0,0.0,durango,10
1995-mayo,1995,mayo,0.0,0.0,durango,10
1995-junio,1995,junio,0.0,0.0,durango,10
1995-julio,1995,julio,0.0,0.0,durango,10
1995-agosto,1995,agosto,0.0,0.0,durango,10
1995-septiembre,1995,septiembre,0.0,0.0,durango,10
1995-octubre,1995,octubre,0.0,0.0,durango,10
1995-noviembre,1995,noviembre,0.0,0.0,durango,10
1995-diciembre,1995,diciembre,0.0,0.0,durango,10
1996-enero,1996,enero,0.0,0.0,durango,10
1996-febrero,1996,febrero,0.0,0.0,durango,10
1996-marzo,1996,marzo,0.0,0.0,durango,10
1996-abril,1996,abril,0.0,0.0,durango,10
1996-mayo,1996,mayo,0.0,0.0,durango,10
1996-junio,1996,junio,0.0,0.0,durango,10
1996-julio,1996,julio,0.0,0.0,durango,10
1996-agosto,1996,agosto,0.0,0.0,durango,10
1996-septiembre,1996,septiembre,0.0,0.0,durango,10
1996-octubre,1996,octubre,0.0,0.0,durango,10
1996-noviembre,1996,noviembre,0.0,0.0,durango,10
1996-diciembre,1996,diciembre,0.0,0.0,durango,10
1997-enero,1997,enero,1.0,0.0,durango,10
1997-febrero,1997,febrero,0.0,0.0,durango,10
1997-marzo,1997,marzo,0.0,0.0,durango,10
1997-abril,1997,abril,0.0,0.0,durango,10
1997-mayo,1997,mayo,0.0,0.0,durango,10
1997-junio,1997,junio,0.0,0.0,durango,10
1997-julio,1997,julio,0.0,0.0,durango,10
1997-agosto,1997,agosto,0.0,0.0,durango,10
1997-septiembre,1997,septiembre,0.0,0.0,durango,10
1997-octubre,1997,octubre,0.0,0.0,durango,10
1997-noviembre,1997,noviembre,0.0,0.0,durango,10
1997-diciembre,1997,diciembre,0.0,0.0,durango,10
1998-enero,1998,enero,0.0,0.0,durango,10
1998-febrero,1998,febrero,0.0,0.0,durango,10
1998-marzo,1998,marzo,0.0,0.0,durango,10
1998-abril,1998,abril,0.0,0.0,durango,10
1998-mayo,1998,mayo,0.0,0.0,durango,10
1998-junio,1998,junio,0.0,0.0,durango,10
1998-julio,1998,julio,0.0,0.0,durango,10
1998-agosto,1998,agosto,0.0,0.0,durango,10
1998-septiembre,1998,septiembre,0.0,0.0,durango,10
1998-octubre,1998,octubre,0.0,0.0,durango,10
1998-noviembre,1998,noviembre,0.0,0.0,durango,10
1998-diciembre,1998,diciembre,0.0,0.0,durango,10
1999-enero,1999,enero,0.0,0.0,durango,10
1999-febrero,1999,febrero,0.0,0.0,durango,10
1999-marzo,1999,marzo,0.0,0.0,durango,10
1999-abril,1999,abril,0.0,0.0,durango,10
1999-mayo,1999,mayo,0.0,0.0,durango,10
1999-junio,1999,junio,0.0,0.0,durango,10
1999-julio,1999,julio,0.0,0.0,durango,10
1999-agosto,1999,agosto,0.0,0.0,durango,10
1999-septiembre,1999,septiembre,0.0,0.0,durango,10
1999-octubre,1999,octubre,0.0,0.0,durango,10
1999-noviembre,1999,noviembre,0.0,0.0,durango,10
1999-diciembre,1999,diciembre,0.0,0.0,durango,10
2000-enero,2000,enero,0.0,0.0,durango,10
2000-febrero,2000,febrero,0.0,0.0,durango,10
2000-marzo,2000,marzo,0.0,0.0,durango,10
2000-abril,2000,abril,0.0,0.0,durango,10
2000-mayo,2000,mayo,1.0,0.0,durango,10
2000-junio,2000,junio,0.0,0.0,durango,10
2000-julio,2000,julio,0.0,0.0,durango,10
2000-agosto,2000,agosto,0.0,0.0,durango,10
2000-septiembre,2000,septiembre,0.0,0.0,durango,10
2000-octubre,2000,octubre,0.0,0.0,durango,10
2000-noviembre,2000,noviembre,0.0,0.0,durango,10
2000-diciembre,2000,diciembre,0.0,0.0,durango,10
2001-enero,2001,enero,0.0,0.0,durango,10
2001-febrero,2001,febrero,0.0,0.0,durango,10
2001-marzo,2001,marzo,0.0,0.0,durango,10
2001-abril,2001,abril,0.0,0.0,durango,10
2001-mayo,2001,mayo,0.0,0.0,durango,10
2001-junio,2001,junio,0.0,0.0,durango,10
2001-julio,2001,julio,0.0,0.0,durango,10
2001-agosto,2001,agosto,0.0,0.0,durango,10
2001-septiembre,2001,septiembre,0.0,0.0,durango,10
2001-octubre,2001,octubre,0.0,0.0,durango,10
